srcFormName,srcFieldName,dstFieldNames,DMN_name,expression
Заявка на технологическое присоединение,notificationTextDocMiss,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,TypeApplicationRef,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,TypeApplicationRef,{'true'},,true
Заявка на технологическое присоединение,SignMiddleName,"{'fields', 'true'}",,fields['SignFL'] eq true or fields['SignUL'] eq true
Заявка на технологическое присоединение,sign_wiringDiagram_appl,"{'empty', 'wiringDiagram', 'contains', 'view', 'ApplicantType'}",,"view.viewId.contains('portal.xhtml') and ['UL','IP'].contains(fields.ApplicantType.Code) and !empty fields.wiringDiagram"
Заявка на технологическое присоединение,ScanRBPAct,{'false'},,false
Заявка на технологическое присоединение,loginName,"{'empty', 'securityDataProvider', 'id'}",,empty securityDataProvider.loggedInUser or securityDataProvider.hasRole('tehprisEE_portalUserRegistrator') or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty fields.id
Заявка на технологическое присоединение,loginName,"{'empty', 'securityDataProvider', 'id'}",,!(empty securityDataProvider.loggedInUser or (securityDataProvider.hasRole('tehprisEE_portalUserRegistrator')) or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty fields.id)
Заявка на технологическое присоединение,NetworkContractDate,"{'Code', 'fields'}",,fields['p_TypeTP'].Code eq '32896' and fields['p_TimeTPType'].Code eq '32898'
Заявка на технологическое присоединение,NetworkContractDate,"{'Code', 'fields'}",,fields['p_TypeTP'].Code eq '32896' and fields['p_TimeTPType'].Code eq '32898'
Заявка на технологическое присоединение,NetworkContractDate,{'formUtilFunctions'},,formUtilFunctions.currentDate()
Заявка на технологическое присоединение,ScanNotificationLetterSO,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,contractGPNumber,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,contractGPNumber,"{'dataObjectController', 'empty', 'view', 'contractGPNumber'}",,view.viewId.contains('portal.xhtml') and !empty fields.contractGPNumber  or  (dataObjectController.instance.objectStatus.status.code eq 'ta10_ContractExecuted'  or dataObjectController.instance.objectStatus.status.code eq 'ta04_Canceled'  or dataObjectController.instance.objectStatus.status.code eq 'ta11_ContractTerminated' )
Заявка на технологическое присоединение,DeviceAddrStreet,"{'true', 'Code', 'fields', 'DeviceAddrNotFound'}",,fields['p_DeviceAddrMatchWith'].Code eq '32886' and fields.DeviceAddrNotFound eq true
Заявка на технологическое присоединение,DeviceAddrStreet,{'false'},,false
Заявка на технологическое присоединение,ChangeDate,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,PaymentsNumber,"{'Code', 'fields'}",,fields['p_PaymentType'].Code eq '32931'
Заявка на технологическое присоединение,PaymentsNumber,"{'Code', 'fields'}",,fields['p_PaymentType'].Code eq '32931'
Заявка на технологическое присоединение,BranchId,{'false'},,false
Заявка на технологическое присоединение,typeOpf,{'ApplicantType'},,fields.ApplicantType.Code eq 'UL'
Заявка на технологическое присоединение,p_TypeTP,{'true'},,true
Заявка на технологическое присоединение,AreaaddrReg,"{'места', 'ApplicantType'}",,fields.ApplicantType.value.fields.Code eq 'UL' ? 'Юридический адрес' : 'Адрес места регистрации'
Заявка на технологическое присоединение,AreaaddrReg,{'true'},,true
Заявка на технологическое присоединение,AreaaddrReg,"{'empty', 'securityDataProvider', 'id'}",,!(empty securityDataProvider.loggedInUser or securityDataProvider.hasRole('tehprisEE_portalUserRegistrator') or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty fields.id)
Заявка на технологическое присоединение,DeviceAddrLocality,"{'true', 'Code', 'fields', 'DeviceAddrNotFound'}",,fields['p_DeviceAddrMatchWith'].Code eq '32886' and fields.DeviceAddrNotFound eq true
Заявка на технологическое присоединение,DeviceAddrLocality,"{'empty', 'DeviceAddrCity', 'DeviceAddrRayon'}",,!empty fields.DeviceAddrRayon and empty fields.DeviceAddrCity
Заявка на технологическое присоединение,sign_ScanNotificationLetterSO_SO,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,sign_ScanNotificationLetterSO_SO,"{'empty', 'p_ContractTransferType', 'ScanNotificationLetterSO'}",,fields.p_ContractTransferType.Code eq '7185643' and !empty fields.ScanNotificationLetterSO
Заявка на технологическое присоединение,p_NoticeType,{'true'},,true
Заявка на технологическое присоединение,sharedOwnershipPersData,"{'securityDataProvider', 'view', 'sharedOwnership', 'true'}",,fields.sharedOwnership eq true and (view.viewId.contains('portal.xhtml') or (securityDataProvider.hasRole('tehprisEE_portalUserRegistrator')))
Заявка на технологическое присоединение,sharedOwnershipPersData,"{'view', 'sharedOwnership', 'true'}",,fields.sharedOwnership eq true and view.viewId.contains('portal.xhtml')
Заявка на технологическое присоединение,Streetaddr,{'true'},,true
Заявка на технологическое присоединение,Streetaddr,"{'empty', 'securityDataProvider', 'id'}",,empty securityDataProvider.loggedInUser or securityDataProvider.hasRole('tehprisEE_portalUserRegistrator') or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty fields.id
Заявка на технологическое присоединение,Streetaddr,"{'empty', 'securityDataProvider', 'id'}",,!(empty securityDataProvider.loggedInUser or securityDataProvider.hasRole('tehprisEE_portalUserRegistrator') or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty fields.id)
Заявка на технологическое присоединение,p_ReasonTP,"{'Code', 'fields'}",,fields['p_TypeTP'].Code eq '32880'
Заявка на технологическое присоединение,p_ReasonTP,"{'Code', 'fields'}",,fields['p_TypeTP'].Code eq '32880'
Заявка на технологическое присоединение,ScanDogovor,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,ScanDogovor,"{'isSimpleTPScheme', 'securityDataProvider', '_Status', 'true'}",,securityDataProvider.hasRole('tehprisEE_ZayavkaTP') and fields.isSimpleTPScheme eq true and fields._Status eq 'ta02_Accepted'
Заявка на технологическое присоединение,RequestChangeDate,{'false'},,false
Заявка на технологическое присоединение,BankNameGP,"{'isSimpleTPScheme', 'ApplicantType', 'true'}",,fields.isSimpleTPScheme eq true and fields.ApplicantType.Code eq 'FL'
Заявка на технологическое присоединение,BankNameGP,"{'empty', 'BankNameGP', 'securityDataProvider', 'view'}",,!empty fields.BankNameGP and securityDataProvider.hasRole('tehprisEE_GpWorkP') or view.viewId.contains('portal.xhtml') or securityDataProvider.hasRole('tehprisEE_ZayavkaTP')
Заявка на технологическое присоединение,contractGP,"{'empty', 'ElectroCompany3', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser and !empty fields.ElectroCompany3
Заявка на технологическое присоединение,contractGP,"{'dataObjectController', 'empty', 'contractGP', 'view'}",,view.viewId.contains('portal.xhtml') and empty fields.contractGP and (dataObjectController.instance.objectStatus.status.code ne 'ta10_ContractExecuted' or dataObjectController.instance.objectStatus.status.code ne 'ta04_Canceled' or dataObjectController.instance.objectStatus.status.code ne 'ta11_ContractTerminated')
Заявка на технологическое присоединение,ElectroCompany3,"{'ORGNotFound', 'true'}",,fields.ORGNotFound ne true
Заявка на технологическое присоединение,ElectroCompany3,{'true'},,true
Заявка на технологическое присоединение,contactphone,"{'empty', 'securityDataProvider'}",,empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,cBuildingaddrFact,"{'места', 'ApplicantType'}",,fields.ApplicantType.value.fields.Code eq 'UL' ? 'Фактический адрес' : 'Адрес места жительства'
Заявка на технологическое присоединение,cBuildingaddrFact,"{'empty', 'securityDataProvider', 'sessionContext'}",,!(empty securityDataProvider.loggedInUser or securityDataProvider.hasRole('tehprisEE_portalUserRegistrator')  or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty sessionContext.get('accession_user'))
Заявка на технологическое присоединение,EPUPlanDoc,"{'Code', 'fields'}",,fields['p_TypeTP'].Code eq '32880'
Заявка на технологическое присоединение,EPUPlanDoc,"{'Code', 'fields'}",,fields['p_TypeTP'].Code eq '32880'
Заявка на технологическое присоединение,p_SignDocType,"{'fields', 'true'}",,fields['SignFL'] eq true or fields['SignUL'] eq true
Заявка на технологическое присоединение,p_SignDocType,"{'fields', 'true'}",,fields['SignFL'] eq true or fields['SignUL'] eq true
Заявка на технологическое присоединение,p_RejoinsVoltage,"{'Code', 'fields'}",,fields['p_TypeTP'].Code eq '32880' or fields['p_TypeTP'].Code eq '32896'
Заявка на технологическое присоединение,p_RejoinsVoltage,"{'Code', 'fields'}",,fields['p_TypeTP'].Code eq '32880' or fields['p_TypeTP'].Code eq '32896'
Заявка на технологическое присоединение,isSimpleTPScheme,{'view'},,!view.viewId.contains('portal.xhtml')
Заявка на технологическое присоединение,isSimpleTPScheme,{'true'},,true
Заявка на технологическое присоединение,p_TimeTPType,"{'Code', 'fields'}",,fields['p_TypeTP'].Code eq '32896'
Заявка на технологическое присоединение,p_TimeTPType,"{'Code', 'fields'}",,fields['p_TypeTP'].Code eq '32896'
Заявка на технологическое присоединение,ContractDateCancelOffer,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,PaperGPDocsSend,"{'true', 'securityDataProvider', 'PaperGPDocsNeed'}",,(securityDataProvider.hasRole('tehprisEE_GpWork')) and fields.PaperGPDocsNeed eq true
Заявка на технологическое присоединение,p_Location,{'true'},,true
Заявка на технологическое присоединение,RegionaddrRef,"{'empty', 'securityDataProvider', 'id'}",,securityDataProvider.hasRole('tehprisEE_portalUserRegistrator')or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty fields.id
Заявка на технологическое присоединение,RegionaddrRef,{'true'},,true
Заявка на технологическое присоединение,RegionaddrRef,"{'empty', 'securityDataProvider', 'id'}",,!(empty securityDataProvider.loggedInUser or securityDataProvider.hasRole('tehprisEE_portalUserRegistrator') or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty fields.id)
Заявка на технологическое присоединение,RegionaddrReg,"{'места', 'ApplicantType'}",,fields.ApplicantType.value.fields.Code eq 'UL' ? 'Юридический адрес' : 'Адрес места регистрации'
Заявка на технологическое присоединение,RegionaddrReg,{'securityDataProvider'},,!(securityDataProvider.hasRole('tehprisEE_portalUserRegistrator') or securityDataProvider.hasRole('tehprisEE_ZayavkaTP'))
